"mutation_rate"	"max_heteroplasmy"
"1e-07"	"0.2890625"
"1e-07"	"0.3671875"
"1e-07"	"0.2890625"
"1e-07"	"0.375"
"1e-07"	"0.3203125"
"1e-07"	"0.984375"
"1e-07"	"0.40625"
"1e-07"	"0.4296875"
"1e-07"	"0.5625"
"1e-07"	"0.3671875"
"1e-07"	"0.3046875"
"1e-07"	"0.6484375"
"1e-07"	"0.5"
"1e-07"	"0.578125"
"1e-07"	"0.390625"
"1e-07"	"0.5625"
"1e-07"	"0.34375"
"1e-07"	"0.6484375"
"1e-07"	"0.25"
"1e-07"	"0.3984375"
"1e-07"	"0.4921875"
"1e-07"	"0.5625"
"1e-07"	"0.3203125"
"1e-07"	"0.499984741210938"
"1e-07"	"0.1796875"
"1e-07"	"0.4140625"
"1e-07"	"0.3125"
"1e-07"	"0.4375"
"1e-07"	"0.515625"
"1e-07"	"0.3671875"
"1e-07"	"0.78125"
"1e-07"	"0.4296875"
"1e-07"	"0.3125"
"1e-07"	"0.4765625"
"1e-07"	"0.499984741210938"
"1e-07"	"0.4921875"
"1e-07"	"0.4921875"
"1e-07"	"0.34375"
"1e-07"	"0.3828125"
"1e-07"	"0.421875"
"1e-07"	"0.171875"
"1e-07"	"0.359375"
"1e-07"	"0.4921875"
"1e-07"	"0.4921875"
"1e-07"	"0.4765625"
"1e-07"	"0.4140625"
"1e-07"	"0.421875"
"1e-07"	"0.2421875"
"1e-07"	"0.40625"
"1e-07"	"0.984375"
"1e-07"	"0.4140625"
"1e-07"	"0.484375"
"1e-07"	"0.499984741210938"
"1e-07"	"0.5390625"
"1e-07"	"0.40625"
"1e-07"	"0.40625"
"1e-07"	"0.499984741210938"
"1e-07"	"0.5078125"
"1e-07"	"0.234375"
"1e-07"	"0.1953125"
"1e-07"	"0.515625"
"1e-07"	"0.4140625"
"1e-07"	"0.984375"
"1e-07"	"0.6484375"
"1e-07"	"0.484375"
"1e-07"	"0.484375"
"1e-07"	"0.4921875"
"1e-07"	"0.390625"
"1e-07"	"0.578125"
"1e-07"	"0.3125"
"1e-07"	"0.28125"
"1e-07"	"0.3359375"
"1e-07"	"0.4140625"
"1e-07"	"0.34375"
"1e-07"	"0.3359375"
"1e-07"	"0.4921875"
"1e-07"	"0.437492370605469"
"1e-07"	"0.6484375"
"1e-07"	"0.359375"
"1e-07"	"0.5"
"1e-07"	"0.6484375"
"1e-07"	"0.78125"
"1e-07"	"0.500001907348633"
"1e-07"	"0.5859375"
"1e-07"	"0.3046875"
"1e-07"	"0.390625"
"1e-07"	"0.500001907348633"
"1e-07"	"0.2109375"
"1e-07"	"0.3359375"
"1e-07"	"0.46875"
"1e-07"	"0.5390625"
"1e-07"	"0.390625"
"1e-07"	"0.40625"
"1e-07"	"0.4375"
"1e-07"	"0.328125"
"1e-07"	"0.234375"
"1e-07"	"0.46875"
"1e-07"	"0.78125"
"1e-07"	"0.359375"
"1e-07"	"0.5859375"
"1e-07"	"0.6484375"
"1e-07"	"0.421875"
"1e-07"	"0.421875"
"1e-07"	"0.34375"
"1e-07"	"0.984375"
"1e-07"	"0.28125"
"1e-07"	"0.4140625"
"1e-07"	"0.4765625"
"1e-07"	"0.3046875"
"1e-07"	"0.3828125"
"1e-07"	"0.5859375"
"1e-07"	"0.234375"
"1e-07"	"0.4453125"
"1e-07"	"0.3203125"
"1e-07"	"0.6484375"
"1e-07"	"0.3359375"
"1e-07"	"0.390625"
"1e-07"	"0.5078125"
"1e-07"	"0.5859375"
"1e-07"	"0.499984741210938"
"1e-07"	"0.3203125"
"1e-07"	"0.359375"
"1e-07"	"0.500001907348633"
"1e-07"	"0.5625"
"1e-07"	"0.500001907348633"
"1e-07"	"0.78125"
"1e-07"	"0.3359375"
"1e-07"	"0.4921875"
"1e-07"	"0.4296875"
"1e-07"	"0.34375"
"1e-07"	"0.3125"
"1e-07"	"0.421875"
"1e-07"	"0.500001907348633"
"1e-07"	"0.2421875"
"1e-07"	"0.3046875"
"1e-07"	"0.4765625"
"1e-07"	"0.390625"
"1e-07"	"0.359375"
"1e-07"	"0.3515625"
"1e-07"	"0.359375"
"1e-07"	"0.390625"
"1e-07"	"0.500001907348633"
"1e-07"	"0.281238555908203"
"1e-07"	"0.3984375"
"1e-07"	"0.3203125"
"1e-07"	"0.359375"
"1e-07"	"0.4296875"
"1e-07"	"0.578125"
"1e-07"	"0.484375"
"1e-07"	"0.390625"
"1e-07"	"0.3828125"
"1e-07"	"0.3671875"
"1e-07"	"0.421875"
"1e-07"	"0.234375"
"1e-07"	"0.46875"
"1e-07"	"0.3828125"
"1e-07"	"0.484375"
"1e-07"	"0.234375"
"1e-07"	"0.484375"
"1e-07"	"0.3671875"
"1e-07"	"0.3125"
"1e-07"	"0.5078125"
"1e-07"	"0.3125"
"1e-07"	"0.3515625"
"1e-07"	"0.6484375"
"1e-07"	"0.4296875"
"1e-07"	"0.3515625"
"1e-07"	"0.390625"
"1e-07"	"0.3203125"
"1e-07"	"0.390625"
"1e-07"	"0.3828125"
"1e-07"	"0.4140625"
"1e-07"	"0.2109375"
"1e-07"	"0.2421875"
"1e-07"	"0.3203125"
"1e-07"	"0.421875"
"1e-07"	"0.2421875"
"1e-07"	"0.4375"
"1e-07"	"0.78125"
"1e-07"	"0.3984375"
"1e-07"	"0.3515625"
"1e-07"	"0.390625"
"1e-07"	"0.499984741210938"
"1e-07"	"0.421875"
"1e-07"	"0.484375"
"1e-07"	"0.40625"
"1e-07"	"0.296875"
"1e-07"	"0.5390625"
"1e-07"	"0.6484375"
"1e-07"	"0.3828125"
"1e-07"	"0.484375"
"1e-07"	"0.234375"
"1e-07"	"0.4921875"
"1e-07"	"0.984375"
"1e-07"	"0.390625"
"1e-07"	"0.390625"
"1e-07"	"0.3828125"
"1e-07"	"0.3828125"
"1e-07"	"0.421875"
"1e-07"	"0.500001907348633"
"1e-07"	"0.265625"
"1e-07"	"0.40625"
"1e-07"	"0.375"
"1e-07"	"0.515625"
"1e-07"	"0.6484375"
"1e-07"	"0.3515625"
"1e-07"	"0.390625"
"1e-07"	"0.5625"
"1e-07"	"0.499984741210938"
"1e-07"	"0.421875"
"1e-07"	"0.40625"
"1e-07"	"0.125"
"1e-07"	"0.499984741210938"
"1e-07"	"0.2890625"
"1e-07"	"0.3203125"
"1e-07"	"0.6484375"
"1e-07"	"0.3671875"
"1e-07"	"0.265625"
"1e-07"	"0.4140625"
"1e-07"	"0.4375"
"1e-07"	"0.28125"
"1e-07"	"0.500001907348633"
"1e-07"	"0.234375"
"1e-07"	"0.625"
"1e-07"	"0.578125"
"1e-07"	"0.3125"
"1e-07"	"0.421875"
"1e-07"	"0.625"
"1e-07"	"0.5078125"
"1e-07"	"0.984375"
"1e-07"	"0.390625"
"1e-07"	"0.421875"
"1e-07"	"0.3515625"
"1e-07"	"0.2734375"
"1e-07"	"0.3125"
"1e-07"	"0.3671875"
"1e-07"	"0.3671875"
"1e-07"	"0.5"
"1e-07"	"0.359375"
"1e-07"	"0.390625"
"1e-07"	"0.4921875"
"1e-07"	"0.4140625"
"1e-07"	"0.359375"
"1e-07"	"0.515625"
"1e-07"	"0.3125"
"1e-07"	"0.3828125"
"1e-07"	"0.4765625"
"1e-07"	"0.6484375"
"1e-07"	"0.359375"
"1e-07"	"0.3515625"
"1e-07"	"0.437492370605469"
"1e-07"	"0.359375"
"1e-07"	"0.3125"
"1e-07"	"0.2734375"
"1e-07"	"0.390625"
"1e-07"	"0.4140625"
"1e-07"	"0.6484375"
"1e-07"	"0.5078125"
"1e-07"	"0.5390625"
"1e-07"	"0.499984741210938"
"1e-07"	"0.5625"
"1e-07"	"0.984375"
"1e-07"	"0.40625"
"1e-07"	"0.421875"
"1e-07"	"0.625"
"1e-07"	"0.375"
"1e-07"	"0.4296875"
"1e-07"	"0.5"
"1e-07"	"0.484375"
"1e-07"	"0.4921875"
"1e-07"	"0.53125"
"1e-07"	"0.5078125"
"1e-07"	"0.3125"
"1e-07"	"0.3515625"
"1e-07"	"0.984375"
"1e-07"	"0.53125"
"1e-07"	"0.375"
"1e-07"	"0.5078125"
"1e-07"	"0.578125"
"1e-07"	"0.3515625"
"1e-07"	"0.3125"
"1e-07"	"0.4921875"
"1e-07"	"0.421875"
"1e-07"	"0.34375"
"1e-07"	"0.5390625"
"1e-07"	"0.40625"
"1e-07"	"0.421875"
"1e-07"	"0.3125"
"1e-07"	"0.499984741210938"
"1e-07"	"0.515625"
"1e-07"	"0.249998092651367"
"1e-07"	"0.40625"
"1e-07"	"0.4375"
"1e-07"	"0.3359375"
"1e-07"	"0.265625"
"1e-07"	"0.4921875"
"1e-07"	"0.359375"
"1e-07"	"0.499984741210938"
"1e-07"	"0.3671875"
"1e-07"	"0.515625"
"1e-07"	"0.500001907348633"
"1e-07"	"0.3046875"
"1e-07"	"0.437492370605469"
"1e-07"	"0.437492370605469"
"1e-07"	"0.484375"
"1e-07"	"0.421875"
"1e-07"	"0.234375"
"1e-07"	"0.296875"
"1e-07"	"0.3125"
"1e-07"	"0.2109375"
"1e-07"	"0.5078125"
"1e-07"	"0.296875"
"1e-07"	"0.390625"
"1e-07"	"0.78125"
"1e-07"	"0.390625"
"1e-07"	"0.4375"
"1e-07"	"0.2421875"
"1e-07"	"0.2109375"
"1e-07"	"0.4140625"
"1e-07"	"0.4921875"
"1e-07"	"0.3203125"
"1e-07"	"0.359375"
"1e-07"	"0.390625"
"1e-07"	"0.3046875"
"1e-07"	"0.2734375"
"1e-07"	"0.421875"
"1e-07"	"0.78125"
"1e-07"	"0.4296875"
"1e-07"	"0.4921875"
"1e-07"	"0.34375"
"1e-07"	"0.390625"
"1e-07"	"0.4921875"
"1e-07"	"0.53125"
"1e-07"	"0.78125"
"1e-07"	"0.4921875"
"1e-07"	"0.3125"
"1e-07"	"0.5390625"
"1e-07"	"0.4921875"
"1e-07"	"0.4296875"
"1e-07"	"0.4765625"
"1e-07"	"0.3671875"
"1e-07"	"0.21875"
"1e-07"	"0.4921875"
"1e-07"	"0.375"
"1e-07"	"0.499984741210938"
"1e-07"	"0.2890625"
"1e-07"	"0.4453125"
"1e-07"	"0.3671875"
"1e-07"	"0.2265625"
"1e-07"	"0.578125"
"1e-07"	"0.499984741210938"
"1e-07"	"0.3671875"
"1e-07"	"0.3125"
"1e-07"	"0.4375"
"1e-07"	"0.3828125"
"1e-07"	"0.3984375"
"1e-07"	"0.3203125"
"1e-07"	"0.3671875"
"1e-07"	"0.437492370605469"
"1e-07"	"0.6484375"
"1e-07"	"0.4375"
"1e-07"	"0.5859375"
"1e-07"	"0.984375"
"1e-07"	"0.34375"
"1e-07"	"0.4765625"
"1e-07"	"0.3671875"
"1e-07"	"0.4296875"
"1e-07"	"0.3515625"
"1e-07"	"0.437492370605469"
"1e-07"	"0.3125"
"1e-07"	"0.21875"
"1e-07"	"0.3046875"
"1e-07"	"0.78125"
"1e-07"	"0.21875"
"1e-07"	"0.421875"
"1e-07"	"0.984375"
"1e-07"	"0.4296875"
"1e-07"	"0.3046875"
"1e-07"	"0.625"
"1e-07"	"0.2734375"
"1e-07"	"0.4140625"
"1e-07"	"0.3515625"
"1e-07"	"0.390625"
"1e-07"	"0.421875"
"1e-07"	"0.2578125"
"1e-07"	"0.28125"
"1e-07"	"0.3359375"
"1e-07"	"0.6484375"
"1e-07"	"0.578125"
"1e-07"	"0.28125"
"1e-07"	"0.53125"
"1e-07"	"0.4921875"
"1e-07"	"0.4375"
"1e-07"	"0.2265625"
"1e-07"	"0.437492370605469"
"1e-07"	"0.3984375"
"1e-07"	"0.3828125"
"1e-07"	"0.40625"
"1e-07"	"0.484375"
"1e-07"	"0.359375"
"1e-07"	"0.40625"
"1e-07"	"0.234375"
"1e-07"	"0.984375"
"1e-07"	"0.3515625"
"1e-07"	"0.5625"
"1e-07"	"0.4921875"
"1e-07"	"0.2890625"
"1e-07"	"0.3125"
"1e-07"	"0.46875"
"1e-07"	"0.6484375"
"1e-07"	"0.4140625"
"1e-07"	"0.578125"
"1e-07"	"0.5859375"
"1e-07"	"0.78125"
"1e-07"	"0.5859375"
"1e-07"	"0.4921875"
"1e-07"	"0.5"
"1e-07"	"0.3828125"
"1e-07"	"0.3125"
"1e-07"	"0.4921875"
"1e-07"	"0.3125"
"1e-07"	"0.4140625"
"1e-07"	"0.3125"
"1e-07"	"0.437492370605469"
"1e-07"	"0.3125"
"1e-07"	"0.421875"
"1e-07"	"0.328125"
"1e-07"	"0.499984741210938"
"1e-07"	"0.3515625"
"1e-07"	"0.296875"
"1e-07"	"0.5390625"
"1e-07"	"0.3125"
"1e-07"	"0.4140625"
"1e-07"	"0.578125"
"1e-07"	"0.2265625"
"1e-07"	"0.3984375"
"1e-07"	"0.421875"
"1e-07"	"0.4375"
"1e-07"	"0.4921875"
"1e-07"	"0.4296875"
"1e-07"	"0.437492370605469"
"1e-07"	"0.4140625"
"1e-07"	"0.500001907348633"
"1e-07"	"0.4375"
"1e-07"	"0.2890625"
"1e-07"	"0.4140625"
"1e-07"	"0.3828125"
"1e-07"	"0.375"
"1e-07"	"0.28125"
"1e-07"	"0.390625"
"1e-07"	"0.3828125"
"1e-07"	"0.484375"
"1e-07"	"0.4296875"
"1e-07"	"0.2734375"
"1e-07"	"0.5625"
"1e-07"	"0.3515625"
"1e-07"	"0.25"
"1e-07"	"0.984375"
"1e-07"	"0.3203125"
"1e-07"	"0.375"
"1e-07"	"0.4921875"
"1e-07"	"0.78125"
"1e-07"	"0.34375"
"1e-07"	"0.4921875"
"1e-07"	"0.3046875"
"1e-07"	"0.34375"
"1e-07"	"0.2734375"
"1e-07"	"0.984375"
"1e-07"	"0.4921875"
"1e-07"	"0.4921875"
"1e-07"	"0.40625"
"1e-07"	"0.578125"
"1e-07"	"0.4375"
"1e-07"	"0.390625"
"1e-07"	"0.4140625"
"1e-07"	"0.3203125"
"1e-07"	"0.421875"
"1e-07"	"0.359375"
"1e-07"	"0.359375"
"1e-07"	"0.34375"
"1e-07"	"0.5078125"
"1e-07"	"0.984375"
"1e-07"	"0.34375"
"1e-07"	"0.28125"
"1e-07"	"0.4375"
"1e-07"	"0.6484375"
"1e-07"	"0.500001907348633"
"1e-07"	"0.4921875"
"1e-07"	"0.265625"
"1e-07"	"0.6484375"
"1e-07"	"0.3515625"
"1e-07"	"0.4140625"
"1e-07"	"0.28125"
"1e-07"	"0.2109375"
"1e-07"	"0.3828125"
"1e-07"	"0.2890625"
"1e-07"	"0.3125"
"1e-07"	"0.28125"
"1e-07"	"0.984375"
"1e-07"	"0.578125"
"1e-07"	"0.1953125"
"1e-07"	"0.484375"
"1e-07"	"0.500001907348633"
"1e-07"	"0.34375"
"1e-07"	"0.3203125"
"1e-07"	"0.3046875"
"1e-07"	"0.3671875"
"1e-07"	"0.6484375"
"1e-07"	"0.6484375"
"1e-07"	"0.34375"
"1e-07"	"0.25"
"1e-07"	"0.4296875"
"1e-07"	"0.359375"
"1e-07"	"0.40625"
"1e-07"	"0.234375"
"1e-07"	"0.4921875"
"1e-07"	"0.359375"
"1e-07"	"0.3984375"
"1e-07"	"0.34375"
"1e-07"	"0.390625"
"1e-07"	"0.5625"
"1e-07"	"0.40625"
"1e-07"	"0.4140625"
"1e-07"	"0.421875"
"1e-07"	"0.4921875"
"1e-07"	"0.53125"
"1e-07"	"0.265625"
"1e-07"	"0.421875"
"1e-07"	"0.40625"
"1e-07"	"0.421875"
"1e-07"	"0.3671875"
"1e-07"	"0.390625"
"1e-07"	"0.484375"
"1e-07"	"0.4296875"
"1e-07"	"0.4140625"
"1e-07"	"0.3046875"
"1e-07"	"0.484375"
"1e-07"	"0.390625"
"1e-07"	"0.390625"
"1e-07"	"0.390625"
"1e-07"	"0.4921875"
"1e-07"	"0.4375"
"1e-07"	"0.6484375"
"1e-07"	"0.4921875"
"1e-07"	"0.4921875"
"1e-07"	"0.2109375"
"1e-07"	"0.3203125"
"1e-07"	"0.265625"
"1e-07"	"0.4921875"
"1e-07"	"0.53125"
"1e-07"	"0.484375"
"1e-07"	"0.484375"
"1e-07"	"0.3203125"
"1e-07"	"0.4921875"
"1e-07"	"0.46875"
"1e-07"	"0.625"
"1e-07"	"0.5859375"
"1e-07"	"0.28125"
"1e-07"	"0.484375"
"1e-07"	"0.515625"
"1e-07"	"0.421875"
"1e-07"	"0.2734375"
"1e-07"	"0.3515625"
"1e-07"	"0.40625"
"1e-07"	"0.2890625"
"1e-07"	"0.4921875"
"1e-07"	"0.3203125"
"1e-07"	"0.625"
"1e-07"	"0.3046875"
"1e-07"	"0.5625"
"1e-07"	"0.375"
"1e-07"	"0.3203125"
"1e-07"	"0.34375"
"1e-07"	"0.3203125"
"1e-07"	"0.2890625"
"1e-07"	"0.6484375"
"1e-07"	"0.34375"
"1e-07"	"0.234375"
"1e-07"	"0.4140625"
"1e-07"	"0.296875"
"1e-07"	"0.6484375"
"1e-07"	"0.3046875"
"1e-07"	"0.46875"
"1e-07"	"0.390625"
"1e-07"	"0.5859375"
"1e-07"	"0.984375"
"1e-07"	"0.515625"
"1e-07"	"0.390625"
"1e-07"	"0.437492370605469"
"1e-07"	"0.28125"
"1e-07"	"0.3828125"
"1e-07"	"0.390625"
"1e-07"	"0.328125"
"1e-07"	"0.5078125"
"1e-07"	"0.3828125"
"1e-07"	"0.500001907348633"
"1e-07"	"0.34375"
"1e-07"	"0.421875"
"1e-07"	"0.4921875"
"1e-07"	"0.375"
"1e-07"	"0.4375"
"1e-07"	"0.34375"
"1e-07"	"0.78125"
"1e-07"	"0.4921875"
"1e-07"	"0.421875"
"1e-07"	"0.6484375"
"1e-07"	"0.484375"
"1e-07"	"0.3203125"
"1e-07"	"0.4921875"
"1e-07"	"0.421875"
"1e-07"	"0.46875"
"1e-07"	"0.6484375"
"1e-07"	"0.3515625"
"1e-07"	"0.78125"
"1e-07"	"0.234375"
"1e-07"	"0.3046875"
"1e-07"	"0.34375"
"1e-07"	"0.2734375"
"1e-07"	"0.40625"
"1e-07"	"0.28125"
"1e-07"	"0.359375"
"1e-07"	"0.390625"
"1e-07"	"0.359375"
"1e-07"	"0.984375"
"1e-07"	"0.34375"
"1e-07"	"0.500001907348633"
"1e-07"	"0.2265625"
"1e-07"	"0.4921875"
"1e-07"	"0.34375"
"1e-07"	"0.6484375"
"1e-07"	"0.390625"
"1e-07"	"0.53125"
"1e-07"	"0.5390625"
"1e-07"	"0.6484375"
"1e-07"	"0.500001907348633"
"1e-07"	"0.390625"
"1e-07"	"0.500001907348633"
"1e-07"	"0.4765625"
"1e-07"	"0.4375"
"1e-07"	"0.5078125"
"1e-07"	"0.421875"
"1e-07"	"0.3125"
"1e-07"	"0.499984741210938"
"1e-07"	"0.515625"
"1e-07"	"0.40625"
"1e-07"	"0.515625"
"1e-07"	"0.78125"
"1e-07"	"0.34375"
"1e-07"	"0.421875"
"1e-07"	"0.40625"
"1e-07"	"0.3125"
"1e-07"	"0.421875"
"1e-07"	"0.4921875"
"1e-07"	"0.3671875"
"1e-07"	"0.4921875"
"1e-07"	"0.4375"
"1e-07"	"0.984375"
"1e-07"	"0.5"
"1e-07"	"0.3203125"
"1e-07"	"0.34375"
"1e-07"	"0.34375"
"1e-07"	"0.4765625"
"1e-07"	"0.5390625"
"1e-07"	"0.359375"
"1e-07"	"0.3203125"
"1e-07"	"0.437492370605469"
"1e-07"	"0.40625"
"1e-07"	"0.578125"
"1e-07"	"0.984375"
"1e-07"	"0.4140625"
"1e-07"	"0.421875"
"1e-07"	"0.5859375"
"1e-07"	"0.40625"
"1e-07"	"0.2890625"
"1e-07"	"0.40625"
"1e-07"	"0.3359375"
"1e-07"	"0.2265625"
"1e-07"	"0.421875"
"1e-07"	"0.421875"
"1e-07"	"0.3515625"
"1e-07"	"0.4921875"
"1e-07"	"0.328125"
"1e-07"	"0.4921875"
"1e-07"	"0.625"
"1e-07"	"0.375"
"1e-07"	"0.53125"
"1e-07"	"0.625"
"1e-07"	"0.437492370605469"
"1e-07"	"0.3828125"
"1e-07"	"0.4921875"
"1e-07"	"0.2734375"
"1e-07"	"0.78125"
"1e-07"	"0.3984375"
"1e-07"	"0.40625"
"1e-07"	"0.500001907348633"
"1e-07"	"0.4140625"
"1e-07"	"0.5859375"
"1e-07"	"0.359375"
"1e-07"	"0.5390625"
"1e-07"	"0.3203125"
"1e-07"	"0.3125"
"1e-07"	"0.359375"
"1e-07"	"0.5"
"1e-07"	"0.28125"
"1e-07"	"0.3203125"
"1e-07"	"0.3203125"
"1e-07"	"0.34375"
"1e-07"	"0.265625"
"1e-07"	"0.53125"
"1e-07"	"0.46875"
"1e-07"	"0.5"
"1e-07"	"0.5390625"
"1e-07"	"0.40625"
"1e-07"	"0.2578125"
"1e-07"	"0.296875"
"1e-07"	"0.203125"
"1e-07"	"0.4921875"
"1e-07"	"0.4140625"
"1e-07"	"0.421875"
"1e-07"	"0.34375"
"1e-07"	"0.4375"
"1e-07"	"0.2890625"
"1e-07"	"0.3125"
"1e-07"	"0.4921875"
"1e-07"	"0.500001907348633"
"1e-07"	"0.4921875"
"1e-07"	"0.359375"
"1e-07"	"0.578125"
"1e-07"	"0.5078125"
"1e-07"	"0.359375"
"1e-07"	"0.984375"
"1e-07"	"0.3671875"
"1e-07"	"0.515625"
"1e-07"	"0.515625"
"1e-07"	"0.3984375"
"1e-07"	"0.5"
"1e-07"	"0.34375"
"1e-07"	"0.40625"
"1e-07"	"0.4921875"
